timestamp,TP9,AF7,AF8,TP10,Right AUX
1526439179428.125,763.18359375,-249.0234375,-460.9375,-953.125,-227.05078125
1526439179432.0312,-884.765625,-567.3828125,-820.80078125,-417.96875,-895.01953125
1526439179435.9375,-572.75390625,-612.79296875,-1000.0,-932.12890625,-911.1328125
1526439179439.8438,965.8203125,-358.3984375,-776.85546875,586.9140625,-352.05078125
1526439179443.75,-846.19140625,-285.15625,-560.546875,-759.27734375,-175.29296875
1526439179447.6562,-138.671875,-515.13671875,-761.23046875,141.6015625,-676.7578125
1526439179451.5625,-1000.0,-661.62109375,-1000.0,-1000.0,-1000.0
1526439179455.4688,317.87109375,-416.9921875,-804.19921875,-64.94140625,-383.30078125
1526439179459.375,-722.65625,-226.07421875,-495.1171875,-731.4453125,-28.3203125
1526439179463.2812,211.42578125,-418.45703125,-721.19140625,261.71875,-642.08984375
1526439179467.1875,-1000.0,-666.015625,-996.58203125,-1000.0,-1000.0
1526439179471.0938,-195.3125,-570.80078125,-935.05859375,-244.62890625,-854.00390625
1526439179473.125,-751.953125,-310.546875,-674.8046875,-799.8046875,-367.67578125
1526439179477.0312,423.33984375,-373.046875,-683.59375,651.3671875,-499.51171875
1526439179480.9375,-1000.0,-655.2734375,-954.1015625,-985.83984375,-998.53515625
1526439179484.8438,-249.0234375,-628.41796875,-986.81640625,-532.2265625,-925.78125
1526439179488.75,-854.4921875,-345.703125,-762.20703125,976.07421875,-372.0703125
1526439179492.6562,917.96875,-290.52734375,-548.33984375,-870.1171875,-131.34765625
1526439179496.5625,-672.36328125,-547.36328125,-797.8515625,-200.68359375,-624.0234375
1526439179500.4688,-663.0859375,-606.93359375,-1000.0,-1000.0,-916.015625
1526439179504.375,912.109375,-413.0859375,-859.86328125,369.62890625,-613.76953125
1526439179508.2812,-811.03515625,-314.453125,-658.203125,-731.93359375,-246.58203125
1526439179512.1875,15.625,-523.4375,-802.24609375,195.3125,-685.05859375
1526439179516.0938,-1000.0,-716.796875,-996.09375,-1000.0,-1000.0
1526439179518.125,192.3828125,-537.109375,-917.96875,-160.15625,-790.0390625
1526439179522.0312,-710.9375,-293.45703125,-650.87890625,-748.046875,-246.58203125
1526439179525.9375,216.796875,-388.671875,-697.265625,346.19140625,-446.77734375
1526439179529.8438,-1000.0,-662.59765625,-980.46875,-1000.0,-1000.0
1526439179533.75,-246.09375,-597.65625,-956.0546875,-263.18359375,-903.80859375
1526439179537.6562,-774.4140625,-273.92578125,-619.62890625,-847.16796875,-164.55078125
1526439179541.5625,528.80859375,-262.6953125,-455.56640625,845.703125,89.84375
1526439179545.4688,-1000.0,-630.37109375,-833.49609375,-756.34765625,-729.00390625
1526439179549.375,-316.89453125,-678.7109375,-1000.0,-674.31640625,-1000.0
1526439179553.2812,-901.3671875,-376.46484375,-770.01953125,895.01953125,-303.22265625
1526439179557.1875,-977.05078125,-321.77734375,-596.19140625,-837.890625,-99.609375
1526439179561.0938,-486.328125,-616.69921875,-853.02734375,-136.23046875,-828.61328125
1526439179578.125,-805.6640625,-695.80078125,-1000.0,-1000.0,-1000.0
1526439179582.0312,766.6015625,-409.66796875,-807.6171875,249.0234375,-484.86328125
1526439179585.9375,-776.3671875,-241.69921875,-508.7890625,-724.12109375,-44.921875
1526439179589.8438,123.53515625,-453.61328125,-720.21484375,213.37890625,-602.5390625
1526439179593.75,-1000.0,-691.89453125,-1000.0,-1000.0,-1000.0
1526439179597.6562,73.2421875,-502.44140625,-827.1484375,-198.2421875,-468.26171875
